Date,Actual,Forecast
2022-03-24,337.97332763671875,336.85036522597454
2022-03-25,336.8800048828125,336.639703095423
2022-03-28,363.9466552734375,336.60740965871037
2022-03-29,366.5233459472656,336.95199261478615
2022-03-30,364.663330078125,337.0147314451539
2022-03-31,359.20001220703125,337.52478465337316
2022-04-01,361.5299987792969,337.351241268104
2022-04-04,381.8166809082031,336.8904687628737
2022-04-05,363.7533264160156,336.8829295360386
2022-04-06,348.586669921875,336.72219881415316
2022-04-07,352.4200134277344,336.6210147250993
2022-04-08,341.8299865722656,336.5769298176136
2022-04-11,325.3099975585937,336.4742850240414
2022-04-12,328.9833374023437,336.3247111863302
2022-04-13,340.7900085449219,336.25034317547505
2022-04-14,328.3333435058594,335.9121929092718
2022-04-18,334.7633361816406,335.87864884465415
2022-04-19,342.7166748046875,335.6912363439459
2022-04-20,325.7333374023437,335.9331503777339
2022-04-21,336.260009765625,336.5469327835555
2022-04-22,335.01666259765625,337.1433049110786
2022-04-25,332.67333984375,338.00677641910164
2022-04-26,292.1400146484375,339.4367977051114
2022-04-27,293.836669921875,340.120568838534
2022-04-28,292.5033264160156,340.0242596535058
2022-04-29,290.2533264160156,339.78335198443835
2022-05-02,300.9800109863281,340.2533117203087
2022-05-03,303.0833435058594,339.79628714602893
2022-05-04,317.5400085449219,339.29620703738635
2022-05-05,291.09332275390625,338.84534415286487
2022-05-06,288.54998779296875,337.97823008578723
2022-05-09,262.3699951171875,337.24358328860706
2022-05-10,266.67999267578125,337.5726319221825
2022-05-11,244.6666717529297,337.10469588321155
2022-05-12,242.6666717529297,336.87994488757556
2022-05-13,256.5299987792969,336.1231208710045
2022-05-16,241.4566650390625,335.0169428257317
2022-05-17,253.8699951171875,335.20240482371753
2022-05-18,236.60333251953125,334.9464763073296
2022-05-19,236.47332763671875,335.04760321658557
2022-05-20,221.3000030517578,335.120414104876
2022-05-23,224.96665954589844,334.8876405624718
2022-05-24,209.3866729736328,335.2108710674614
2022-05-25,219.6000061035156,335.49505385440295
2022-05-26,235.9100036621093,335.7217222122521
2022-05-27,253.2100067138672,335.932852354464
2022-05-31,252.7533264160156,335.8418668178887
2022-06-01,246.7899932861328,335.5927458671898
2022-06-02,258.3333435058594,335.19599637072986
2022-06-03,234.51666259765625,336.20710739177173
2022-06-06,238.27999877929688,337.2370901970238
2022-06-07,238.8866729736328,337.9847227005333
2022-06-08,241.86666870117188,339.51077231448596
2022-06-09,239.7066650390625,340.4631882576317
2022-06-10,232.22999572753903,340.601204004702
2022-06-13,215.7366638183593,341.08379563373035
2022-06-14,220.88999938964844,341.196457949099
2022-06-15,233.0,340.53430708926624
2022-06-16,213.1000061035156,339.7541757492394
2022-06-17,216.759994506836,339.7416172890038
2022-06-21,237.0366668701172,339.89924105685657
2022-06-22,236.086669921875,339.44244154971545
2022-06-23,235.07000732421875,340.667094793734
2022-06-24,245.7066650390625,340.154399481234
2022-06-27,244.9199981689453,338.57302245181506
2022-06-28,232.663330078125,336.0351823238701
2022-06-29,228.4900054931641,334.7861090568871
2022-06-30,224.47332763671875,331.2386473087639
2022-07-01,227.26333618164065,330.60464128535693
2022-07-05,233.0666656494141,330.7792309192986
2022-07-06,231.7333374023437,331.41999992412036
2022-07-07,244.5433349609375,333.7979790238709
2022-07-08,250.76333618164065,336.5011111168236
2022-07-11,234.3433380126953,337.9264098076195
2022-07-12,233.07000732421875,338.0961767105431
2022-07-13,237.0399932861328,338.6590724853844
2022-07-14,238.31333923339844,338.9863167671532
2022-07-15,240.0666656494141,338.0940009025902
2022-07-18,240.54666137695312,335.94640597384875
2022-07-19,245.52999877929688,334.8575201896996
2022-07-20,247.5,334.8692637352318
2022-07-21,271.7066650390625,335.4140466122002
2022-07-22,272.24334716796875,335.74885186236804
2022-07-25,268.4333190917969,336.3308781055779
2022-07-26,258.8599853515625,337.29994544070667
2022-07-27,274.82000732421875,336.7059508232445
2022-07-28,280.8999938964844,336.6570428280205
2022-07-29,297.1499938964844,336.16302284282153
2022-08-01,297.27667236328125,336.21614703219836
2022-08-02,300.586669921875,336.23600801509326
2022-08-03,307.39666748046875,336.49696811717456
2022-08-04,308.6333312988281,336.8861061004967
2022-08-05,288.1700134277344,337.1938601402611
2022-08-08,290.42333984375,337.76361426394885
2022-08-09,283.3333435058594,337.54542311709827
2022-08-10,294.3566589355469,336.9845906166405
2022-08-11,286.6300048828125,336.2541376022667
2022-08-12,300.0299987792969,335.4782396225304
2022-08-15,309.32000732421875,335.0557487873406
2022-08-16,306.5633239746094,334.96956976931995
2022-08-17,303.9966735839844,334.84080716651386
2022-08-18,302.8699951171875,334.86557587665027
2022-08-19,296.6666564941406,335.1345635322899
2022-08-22,289.913330078125,334.7823706535668
2022-08-23,296.4533386230469,334.8536580471367
2022-08-24,297.0966796875,334.2617212204308
2022-08-25,296.07000732421875,334.4779052404732
2022-08-26,288.0899963378906,335.50870880168384
2022-08-29,284.82000732421875,336.10933670085376
2022-08-30,277.70001220703125,337.0708261398644
2022-08-31,275.6099853515625,337.31344279330676
2022-09-01,277.1600036621094,337.08802231830066
2022-09-02,270.2099914550781,336.50276955645984
2022-09-06,274.4200134277344,336.31479462665027
2022-09-07,283.70001220703125,335.9809170631737
2022-09-08,289.260009765625,335.6740790275902
2022-09-09,299.67999267578125,335.50088342708057
2022-09-12,304.4200134277344,336.53592571299976
2022-09-13,292.1300048828125,338.6049028305382
2022-09-14,302.6099853515625,340.06996878665393
2022-09-15,303.75,340.3136821655602
2022-09-16,303.3500061035156,341.1569262413353
