Date,Actual,Forecast
2022-03-24,337.97332763671875,333.21089901025334
2022-03-25,336.8800048828125,333.8369361259212
2022-03-28,363.9466552734375,332.3717596620616
2022-03-29,366.5233459472656,332.3814671858866
2022-03-30,364.663330078125,335.0052474614851
2022-03-31,359.20001220703125,334.6216463250023
2022-04-01,361.5299987792969,335.56758670230926
2022-04-04,381.8166809082031,335.75761771465756
2022-04-05,363.7533264160156,339.41542039451923
2022-04-06,348.586669921875,337.82721057659364
2022-04-07,352.4200134277344,340.11423482502204
2022-04-08,341.8299865722656,342.4341815633344
2022-04-11,325.3099975585937,340.7422131326771
2022-04-12,328.9833374023437,339.1626720412167
2022-04-13,340.7900085449219,338.577544577567
2022-04-14,328.3333435058594,337.7833687858598
2022-04-18,334.7633361816406,339.6013155089763
2022-04-19,342.7166748046875,339.2219714955868
2022-04-20,325.7333374023437,340.8466621880659
2022-04-21,336.260009765625,338.58397375347477
2022-04-22,335.01666259765625,340.7617746964318
2022-04-25,332.67333984375,340.5647137341705
2022-04-26,292.1400146484375,342.8635895032755
2022-04-27,293.836669921875,341.0240834530843
2022-04-28,292.5033264160156,340.5169406725584
2022-04-29,290.2533264160156,340.379306274648
2022-05-02,300.9800109863281,339.24310589292384
2022-05-03,303.0833435058594,338.3859512486711
2022-05-04,317.5400085449219,341.6624040302911
2022-05-05,291.09332275390625,342.01500591968755
2022-05-06,288.54998779296875,340.25111059670957
2022-05-09,262.3699951171875,339.3591610672769
2022-05-10,266.67999267578125,337.929831324858
2022-05-11,244.6666717529297,338.25827679059034
2022-05-12,242.6666717529297,338.56525413856804
2022-05-13,256.5299987792969,340.4879442556097
2022-05-16,241.4566650390625,341.16483396681946
2022-05-17,253.8699951171875,339.6869608887456
2022-05-18,236.60333251953125,339.9802184904035
2022-05-19,236.47332763671875,336.3997726311753
2022-05-20,221.3000030517578,339.4612676909751
2022-05-23,224.96665954589844,336.92552646797833
2022-05-24,209.3866729736328,338.09156850291373
2022-05-25,219.6000061035156,335.92796422133864
2022-05-26,235.9100036621093,338.04047139291794
2022-05-27,253.2100067138672,339.53649371857136
2022-05-31,252.7533264160156,343.66694237109937
2022-06-01,246.7899932861328,345.7405311361321
2022-06-02,258.3333435058594,344.48672120784096
2022-06-03,234.51666259765625,345.6005523984319
2022-06-06,238.27999877929688,342.3659486035397
2022-06-07,238.8866729736328,340.83349652057
2022-06-08,241.86666870117188,343.9668826739018
2022-06-09,239.7066650390625,343.198662331378
2022-06-10,232.22999572753903,343.7971747677441
2022-06-13,215.7366638183593,342.4225096307633
2022-06-14,220.88999938964844,341.93428393673
2022-06-15,233.0,342.3438486868306
2022-06-16,213.1000061035156,345.96861926533643
2022-06-17,216.759994506836,346.1489198922792
2022-06-21,237.0366668701172,345.8321947456523
2022-06-22,236.086669921875,347.79643950477544
2022-06-23,235.07000732421875,346.78852457802094
2022-06-24,245.7066650390625,344.79062185258715
2022-06-27,244.9199981689453,348.90070457694645
2022-06-28,232.663330078125,347.7656872179347
2022-06-29,228.4900054931641,347.3810103589185
2022-06-30,224.47332763671875,346.3280057398278
2022-07-01,227.26333618164065,347.05470799904856
2022-07-05,233.0666656494141,347.2341360940732
2022-07-06,231.7333374023437,350.24476559526346
2022-07-07,244.5433349609375,352.2330296599097
2022-07-08,250.76333618164065,352.80730226325454
2022-07-11,234.3433380126953,353.40275389010753
2022-07-12,233.07000732421875,350.88842129423574
2022-07-13,237.0399932861328,348.86552568820144
2022-07-14,238.31333923339844,352.3264303501327
2022-07-15,240.0666656494141,351.3920095647439
2022-07-18,240.54666137695312,352.37157951170127
2022-07-19,245.52999877929688,351.77169946452835
2022-07-20,247.5,353.374793249976
2022-07-21,271.7066650390625,353.4743714944633
2022-07-22,272.24334716796875,358.27705641240175
2022-07-25,268.4333190917969,360.4474161076415
2022-07-26,258.8599853515625,359.40328504451014
2022-07-27,274.82000732421875,358.46083341190086
2022-07-28,280.8999938964844,359.09956113711377
2022-07-29,297.1499938964844,357.79270751767973
2022-08-01,297.27667236328125,362.4493997592188
2022-08-02,300.586669921875,361.4033202056403
2022-08-03,307.39666748046875,362.5344736543101
2022-08-04,308.6333312988281,362.550988418948
2022-08-05,288.1700134277344,363.7892433736971
2022-08-08,290.42333984375,361.7043384735106
2022-08-09,283.3333435058594,364.36927911717817
2022-08-10,294.3566589355469,365.79697785417613
2022-08-11,286.6300048828125,366.1972691930824
2022-08-12,300.0299987792969,365.4346411774144
2022-08-15,309.32000732421875,365.8240817556053
2022-08-16,306.5633239746094,364.82980956352264
2022-08-17,303.9966735839844,367.63569324080754
2022-08-18,302.8699951171875,366.327346142547
2022-08-19,296.6666564941406,367.02647061041097
2022-08-22,289.913330078125,365.77578932202005
2022-08-23,296.4533386230469,366.23600519782326
2022-08-24,297.0966796875,366.78059577141863
2022-08-25,296.07000732421875,369.2887613109164
2022-08-26,288.0899963378906,371.30688667617113
2022-08-29,284.82000732421875,369.85669633570194
2022-08-30,277.70001220703125,369.52804376321427
2022-08-31,275.6099853515625,367.9193150263601
2022-09-01,277.1600036621094,365.8168922634339
2022-09-02,270.2099914550781,369.042148441548
2022-09-06,274.4200134277344,367.3069639275186
2022-09-07,283.70001220703125,368.5257588032134
2022-09-08,289.260009765625,368.7827941939155
2022-09-09,299.67999267578125,370.44204122488406
2022-09-12,304.4200134277344,371.364450992918
2022-09-13,292.1300048828125,374.2715377810873
2022-09-14,302.6099853515625,375.1928763630503
2022-09-15,303.75,375.5402595231589
2022-09-16,303.3500061035156,375.64103866192715
